"CategoryId;CategoryName;ParentId;Description"
"1;Teknoloji;null;En yeni teknoloji ürünleri, akıllı cihazlar ve dijital çözümlerle hayatınızı kolaylaştıran yenilikleri keşfedin."
"2;Giyim;null;Her tarza uygun kadın, erkek ve çocuk giyim ürünleriyle modayı yakalayın, stilinizi tamamlayın."
"3;Ev Aletleri;null;Ev işlerini pratikleştiren modern ev aletleriyle konforu ve verimliliği bir arada yaşayın."
"4;Beyaz Eşya;null;Ev işlerini pratikleştiren modern ev aletleriyle konforu ve verimliliği bir arada yaşayın."
"5;Kitap;null;Farklı türlerde binlerce kitapla bilgiye, hayal gücüne ve kişisel gelişime bir adım daha yaklaşın."
"6;Akıllı Telefonlar;1;En yeni akıllı telefon modelleri, güçlü performans ve gelişmiş kameralarla teknoloji elinizin altında."
"7;Dizüstü Bilgisayarlar;1;İş, eğitim ve oyun için yüksek performanslı dizüstü bilgisayar modellerini keşfedin."
"8;Aksesuarlar;1;Teknolojik cihazlarınızı tamamlayan şık ve işlevsel aksesuarlarla deneyiminizi güçlendirin."
"9;Erkek Giyim;2;Günlük ve özel günler için modern, rahat ve şık erkek giyim ürünleriyle stilinizi yansıtın."
"10;Kadın Giyim;2;Sezon trendlerine uygun, şık ve konforlu kadın giyim koleksiyonlarıyla tarzınızı ön plana çıkarın."
"11;Çocuk Giyim;2;Rahat, dayanıklı ve eğlenceli çocuk giyim ürünleriyle miniklerin konforunu sağlayın."
"12;Mutfak Aletleri;3;Yemek hazırlığını kolaylaştıran pratik ve fonksiyonel mutfak aletleriyle mutfağınızı yenileyin."
"13;Temizlik Aletleri;3;Yemek hazırlığını kolaylaştıran pratik ve fonksiyonel mutfak aletleriyle mutfağınızı yenileyin."
"14;Klima ve Isıtma;3;Dört mevsim ideal sıcaklık sunan klima ve ısıtma çözümleriyle yaşam alanınızı konforlu hale getirin."
"15;Buzdolabı;4;Gıdalarınızı uzun süre taze tutan, enerji verimli ve geniş hacimli buzdolabı modelleri."
"16;Çamaşır Makinesi;4;Yüksek temizlik performansı sunan, su ve enerji tasarruflu çamaşır makineleriyle tanışın."
"17;Fırın & Ocak;4;Yüksek temizlik performansı sunan, su ve enerji tasarruflu çamaşır makineleriyle tanışın."
"18;Roman;5;Sürükleyici hikâyeler ve unutulmaz karakterlerle dolu romanlarla hayal dünyasına yolculuk yapın."
"19;Kişisel Gelişim;5;Kendinizi geliştirmek ve motivasyonunuzu artırmak için ilham verici kişisel gelişim kitapları."
"20;Bilim & Teknoloji;5;Bilimsel gelişmeleri ve teknolojik yenilikleri keşfetmenizi sağlayan güncel ve bilgilendirici kitaplar."
